[06-Mar-2025 04:10:39 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/UX221A2/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[06-Mar-2025 04:10:45 UTC] PHP Warning:  Undefined array key "id" in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/freemius/templates/connect/permission.php on line 29
[06-Mar-2025 04:10:45 UTC] PHP Warning:  Undefined array key "id" in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/freemius/templates/connect/permission.php on line 29
[06-Mar-2025 04:10:45 UTC] PHP Warning:  Undefined array key "id" in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/freemius/templates/connect/permission.php on line 30
[06-Mar-2025 04:15:43 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221A2/.wordpress/wp-content/mu-plugins/one-click-child-theme/one-click-child-theme.php:419) in /workspaces/UX221A2/.wordpress/wp-includes/pluggable.php on line 1435
[06-Mar-2025 04:15:43 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221A2/.wordpress/wp-content/mu-plugins/one-click-child-theme/one-click-child-theme.php:419) in /workspaces/UX221A2/.wordpress/wp-includes/pluggable.php on line 1438
[06-Mar-2025 04:28:55 UTC] PHP Fatal error:  Out of memory (allocated 35651584) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 56
[06-Mar-2025 04:28:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /workspaces/UX221A2/.wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 367
[06-Mar-2025 04:28:55 UTC] PHP Warning:  Trying to access array offset on value of type bool in /workspaces/UX221A2/.wordpress/wp-includes/class-wp-recovery-mode-email-service.php on line 368
[06-Mar-2025 04:28:55 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:55 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:56 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:56 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:56 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:56 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:57 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:57 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:57 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:57 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:58 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:58 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:58 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/tgm-plugin-activation.php on line 33
[06-Mar-2025 04:28:58 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:28:59 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:00 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 38
[06-Mar-2025 04:29:03 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 38
[06-Mar-2025 04:29:04 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 38
[06-Mar-2025 04:29:04 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 56
[06-Mar-2025 04:29:08 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:21 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:21 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:21 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:24 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/admin/theme-admin.php on line 38
[06-Mar-2025 04:29:38 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
[06-Mar-2025 04:29:50 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/UX221A2/.wordpress/wp-content/themes/ona/inc/tgmpa/class-tgm-plugin-activation.php on line 127
